Feature,Importancia,Horizonte,Label,Categoria
precipitation_anomaly_lag3,1.355,2,h=2,Precipitación
precipitation_anomaly_lag4,0.886,2,h=2,Precipitación
humidity_mean_anomaly_lag1,0.091,2,h=2,Humedad/Calor
humidity_mean_anomaly_lag2,0.308,2,h=2,Humedad/Calor
humidity_mean_anomaly_lag3,0.134,2,h=2,Humedad/Calor
humidity_mean_anomaly_lag4,0.667,2,h=2,Humedad/Calor
semana_sin,55.744,2,h=2,Estacionalidad
semana_cos,0.231,2,h=2,Estacionalidad
mes_aprox,15.854,2,h=2,Estacionalidad
comuna_id,0.197,2,h=2,Geografía
es_comuna_1,0.98,2,h=2,Geografía
poblacion,0.155,2,h=2,Geografía
cases_lag1,0.951,3,h=3,Casos propios
cases_lag2,0.41,3,h=3,Casos propios
cases_lag3,0.114,3,h=3,Casos propios
cases_lag4,0.168,3,h=3,Casos propios
incidencia_lag1,0.721,3,h=3,Casos propios
incidencia_lag2,0.475,3,h=3,Casos propios
incidencia_lag3,0.79,3,h=3,Casos propios
incidencia_lag4,0.59,3,h=3,Casos propios
casos_vecinas_lag1,0.179,3,h=3,Vecindad espacial
incidencia_vecinas_lag1,0.264,3,h=3,Vecindad espacial
temp_mean,0.642,3,h=3,Temperatura
precipitation,1.002,3,h=3,Precipitación
humidity_mean,0.393,3,h=3,Humedad/Calor
heat_index_mean,0.433,3,h=3,Humedad/Calor
temp_mean_anomaly,0.102,3,h=3,Temperatura
precipitation_anomaly,0.183,3,h=3,Precipitación
humidity_mean_anomaly,0.093,3,h=3,Humedad/Calor
temp_mean_lag1,0.728,3,h=3,Temperatura
temp_mean_lag2,0.709,3,h=3,Temperatura
temp_mean_lag3,2.693,3,h=3,Temperatura
temp_mean_lag4,2.635,3,h=3,Temperatura
precipitation_lag1,0.087,3,h=3,Precipitación
precipitation_lag2,0.025,3,h=3,Precipitación
precipitation_lag3,0.063,3,h=3,Precipitación
precipitation_lag4,0.088,3,h=3,Precipitación
humidity_mean_lag1,0.049,3,h=3,Humedad/Calor
humidity_mean_lag2,0.993,3,h=3,Humedad/Calor
humidity_mean_lag3,2.782,3,h=3,Humedad/Calor
humidity_mean_lag4,0.102,3,h=3,Humedad/Calor
heat_index_mean_lag1,0.043,3,h=3,Humedad/Calor
heat_index_mean_lag2,0.102,3,h=3,Humedad/Calor
heat_index_mean_lag3,2.796,3,h=3,Humedad/Calor
heat_index_mean_lag4,13.767,3,h=3,Humedad/Calor
temp_mean_anomaly_lag1,0.046,3,h=3,Temperatura
temp_mean_anomaly_lag3,0.059,3,h=3,Temperatura
temp_mean_anomaly_lag4,0.037,3,h=3,Temperatura
precipitation_anomaly_lag1,0.249,3,h=3,Precipitación
precipitation_anomaly_lag2,0.383,3,h=3,Precipitación
precipitation_anomaly_lag3,1.387,3,h=3,Precipitación
