Modelo,Split,Horizonte,Comuna,Nombre,MAE,RMSE,R2,N,media_real,max_real
Persistencia,Test,2,8,C8 Lugano,0.08,0.28,-0.282,78,0.06,1.0
XGBoost,Test,2,8,C8 Lugano,2.16,5.18,-436.298,76,0.07,1.0
LSTM+aug,Test,2,8,C8 Lugano,34.61,34.61,-16629.334,64,0.08,1.0
Persistencia,Test,2,9,C9 Liniers,0.08,0.36,0.241,78,0.1,2.0
XGBoost,Test,2,9,C9 Liniers,3.21,8.77,-443.248,76,0.11,2.0
LSTM+aug,Test,2,9,C9 Liniers,34.56,34.56,-5880.256,64,0.12,2.0
Persistencia,Test,2,10,C10 Floresta,0.18,0.6,-0.496,78,0.13,3.0
XGBoost,Test,2,10,C10 Floresta,2.97,7.91,-253.314,76,0.13,3.0
LSTM+aug,Test,2,10,C10 Floresta,34.53,34.53,-4138.585,64,0.16,3.0
Persistencia,Test,2,11,C11 Villa del Parque,0.74,2.22,0.272,78,0.92,17.0
XGBoost,Test,2,11,C11 Villa del Parque,2.41,6.56,-5.228,76,0.95,17.0
LSTM+aug,Test,2,11,C11 Villa del Parque,33.56,33.68,-140.514,64,1.12,17.0
Persistencia,Test,2,12,C12 Coghlan,0.15,0.48,0.107,78,0.15,3.0
XGBoost,Test,2,12,C12 Coghlan,1.27,3.28,-39.764,76,0.16,3.0
LSTM+aug,Test,2,12,C12 Coghlan,34.5,34.5,-3856.562,64,0.19,3.0
Persistencia,Test,2,13,C13 Belgrano,0.13,0.36,-0.569,78,0.09,1.0
XGBoost,Test,2,13,C13 Belgrano,1.54,3.42,-139.137,76,0.09,1.0
LSTM+aug,Test,2,13,C13 Belgrano,34.58,34.58,-12272.677,64,0.11,1.0
Persistencia,Test,2,14,C14 Palermo,0.15,0.45,-1.122,78,0.08,2.0
XGBoost,Test,2,14,C14 Palermo,1.63,3.89,-151.509,76,0.08,2.0
LSTM+aug,Test,2,14,C14 Palermo,34.59,34.59,-10296.691,64,0.09,2.0
Persistencia,Test,2,15,C15 Agronomía,0.21,0.64,-0.645,78,0.14,3.0
XGBoost,Test,2,15,C15 Agronomía,1.67,3.92,-59.028,76,0.14,3.0
LSTM+aug,Test,2,15,C15 Agronomía,34.51,34.52,-3989.461,64,0.17,3.0
Persistencia,Test,3,1,C1 Puerto Madero,0.22,0.52,-0.484,78,0.15,2.0
XGBoost,Test,3,1,C1 Puerto Madero,5.69,12.35,-811.977,75,0.16,2.0
LSTM+aug,Test,3,1,C1 Puerto Madero,0.17,0.49,-0.147,63,0.17,2.0
Persistencia,Test,3,2,C2 Recoleta,0.08,0.28,-1.08,78,0.04,1.0
XGBoost,Test,3,2,C2 Recoleta,1.2,2.77,-198.199,75,0.04,1.0
LSTM+aug,Test,3,2,C2 Recoleta,0.05,0.22,-0.05,63,0.05,1.0
Persistencia,Test,3,3,C3 Balvanera,0.15,0.45,-0.19,78,0.14,2.0
XGBoost,Test,3,3,C3 Balvanera,1.86,4.29,-101.91,75,0.15,2.0
LSTM+aug,Test,3,3,C3 Balvanera,0.17,0.49,-0.147,63,0.17,2.0
Persistencia,Test,3,4,C4 La Boca,0.13,0.53,-1.06,78,0.06,3.0
XGBoost,Test,3,4,C4 La Boca,2.41,5.28,-194.868,75,0.07,3.0
LSTM+aug,Test,3,4,C4 La Boca,0.08,0.42,-0.037,63,0.08,3.0
Persistencia,Test,3,5,C5 Almagro,0.1,0.32,-1.108,78,0.05,1.0
XGBoost,Test,3,5,C5 Almagro,1.9,4.29,-363.303,75,0.05,1.0
LSTM+aug,Test,3,5,C5 Almagro,0.06,0.25,-0.068,63,0.06,1.0
Persistencia,Test,3,6,C6 Caballito,0.08,0.32,0.229,78,0.09,2.0
XGBoost,Test,3,6,C6 Caballito,1.94,4.54,-148.456,75,0.09,2.0
LSTM+aug,Test,3,6,C6 Caballito,0.11,0.42,-0.076,63,0.11,2.0
Persistencia,Test,3,7,C7 Flores,0.1,0.36,-0.497,78,0.06,2.0
XGBoost,Test,3,7,C7 Flores,2.7,6.38,-456.313,75,0.07,2.0
LSTM+aug,Test,3,7,C7 Flores,0.08,0.33,-0.06,63,0.08,2.0
Persistencia,Test,3,8,C8 Lugano,0.08,0.28,-0.282,78,0.06,1.0
XGBoost,Test,3,8,C8 Lugano,2.76,6.48,-672.914,75,0.07,1.0
LSTM+aug,Test,3,8,C8 Lugano,0.08,0.28,-0.086,63,0.08,1.0
Persistencia,Test,3,9,C9 Liniers,0.08,0.36,0.241,78,0.1,2.0
XGBoost,Test,3,9,C9 Liniers,3.49,8.73,-433.856,75,0.11,2.0
LSTM+aug,Test,3,9,C9 Liniers,0.13,0.47,-0.078,63,0.13,2.0
Persistencia,Test,3,10,C10 Floresta,0.18,0.6,-0.496,78,0.13,3.0
XGBoost,Test,3,10,C10 Floresta,3.28,7.99,-255.271,75,0.13,3.0
LSTM+aug,Test,3,10,C10 Floresta,0.16,0.56,-0.086,63,0.16,3.0
Persistencia,Test,3,11,C11 Villa del Parque,0.74,2.22,0.272,78,0.92,17.0
XGBoost,Test,3,11,C11 Villa del Parque,3.38,8.84,-10.167,75,0.96,17.0
LSTM+aug,Test,3,11,C11 Villa del Parque,1.14,3.07,-0.161,63,1.14,17.0
Persistencia,Test,3,12,C12 Coghlan,0.15,0.48,0.107,78,0.15,3.0
XGBoost,Test,3,12,C12 Coghlan,2.31,5.31,-104.261,75,0.16,3.0
LSTM+aug,Test,3,12,C12 Coghlan,0.19,0.59,-0.116,63,0.19,3.0
Persistencia,Test,3,13,C13 Belgrano,0.13,0.36,-0.569,78,0.09,1.0
XGBoost,Test,3,13,C13 Belgrano,2.47,5.62,-372.78,75,0.09,1.0
LSTM+aug,Test,3,13,C13 Belgrano,0.11,0.33,-0.125,63,0.11,1.0
Persistencia,Test,3,14,C14 Palermo,0.15,0.45,-1.122,78,0.08,2.0
XGBoost,Test,3,14,C14 Palermo,2.56,5.88,-344.026,75,0.08,2.0
LSTM+aug,Test,3,14,C14 Palermo,0.1,0.36,-0.077,63,0.1,2.0
Persistencia,Test,3,15,C15 Agronomía,0.21,0.64,-0.645,78,0.14,3.0
XGBoost,Test,3,15,C15 Agronomía,2.63,6.14,-144.917,75,0.15,3.0
LSTM+aug,Test,3,15,C15 Agronomía,0.17,0.58,-0.101,63,0.17,3.0
Persistencia,Test,4,1,C1 Puerto Madero,0.22,0.52,-0.484,78,0.15,2.0
XGBoost,Test,4,1,C1 Puerto Madero,7.68,13.94,-1022.057,74,0.16,2.0
LSTM+aug,Test,4,1,C1 Puerto Madero,0.91,0.96,-3.409,62,0.18,2.0
Persistencia,Test,4,2,C2 Recoleta,0.08,0.28,-1.08,78,0.04,1.0
XGBoost,Test,4,2,C2 Recoleta,1.01,1.92,-93.912,74,0.04,1.0
LSTM+aug,Test,4,2,C2 Recoleta,0.98,1.0,-20.689,62,0.05,1.0
Persistencia,Test,4,3,C3 Balvanera,0.15,0.45,-0.19,78,0.14,2.0
XGBoost,Test,4,3,C3 Balvanera,1.67,3.02,-49.355,74,0.15,2.0
LSTM+aug,Test,4,3,C3 Balvanera,0.93,0.97,-3.729,62,0.16,2.0
Persistencia,Test,4,4,C4 La Boca,0.13,0.53,-1.06,78,0.06,3.0
XGBoost,Test,4,4,C4 La Boca,2.65,4.89,-164.979,74,0.07,3.0
LSTM+aug,Test,4,4,C4 La Boca,1.01,1.03,-5.212,62,0.08,3.0
Persistencia,Test,4,5,C5 Almagro,0.1,0.32,-1.108,78,0.05,1.0
XGBoost,Test,4,5,C5 Almagro,1.62,3.03,-178.305,74,0.05,1.0
LSTM+aug,Test,4,5,C5 Almagro,0.96,0.99,-15.267,62,0.06,1.0
Persistencia,Test,4,6,C6 Caballito,0.08,0.32,0.229,78,0.09,2.0
XGBoost,Test,4,6,C6 Caballito,1.82,3.4,-81.797,74,0.09,2.0
LSTM+aug,Test,4,6,C6 Caballito,0.97,1.0,-5.046,62,0.11,2.0
Persistencia,Test,4,7,C7 Flores,0.1,0.36,-0.497,78,0.06,2.0
XGBoost,Test,4,7,C7 Flores,3.1,6.27,-435.688,74,0.07,2.0
LSTM+aug,Test,4,7,C7 Flores,0.98,1.0,-8.372,62,0.08,2.0
Persistencia,Test,4,8,C8 Lugano,0.08,0.28,-0.282,78,0.06,1.0
XGBoost,Test,4,8,C8 Lugano,3.94,8.08,-1036.528,74,0.07,1.0
LSTM+aug,Test,4,8,C8 Lugano,0.94,0.98,-12.014,62,0.08,1.0
Persistencia,Test,4,9,C9 Liniers,0.08,0.36,0.241,78,0.1,2.0
XGBoost,Test,4,9,C9 Liniers,4.61,10.45,-614.162,74,0.11,2.0
LSTM+aug,Test,4,9,C9 Liniers,0.99,1.01,-3.833,62,0.13,2.0
Persistencia,Test,4,10,C10 Floresta,0.18,0.6,-0.496,78,0.13,3.0
XGBoost,Test,4,10,C10 Floresta,3.87,8.8,-306.416,74,0.14,3.0
LSTM+aug,Test,4,10,C10 Floresta,0.99,1.02,-2.512,62,0.16,3.0
Persistencia,Test,4,11,C11 Villa del Parque,0.74,2.22,0.272,78,0.92,17.0
XGBoost,Test,4,11,C11 Villa del Parque,3.48,7.02,-5.958,74,0.97,17.0
LSTM+aug,Test,4,11,C11 Villa del Parque,1.69,2.87,-0.002,62,1.16,17.0
Persistencia,Test,4,12,C12 Coghlan,0.15,0.48,0.107,78,0.15,3.0
XGBoost,Test,4,12,C12 Coghlan,2.03,4.15,-62.648,74,0.16,3.0
LSTM+aug,Test,4,12,C12 Coghlan,0.96,1.0,-2.175,62,0.19,3.0
Persistencia,Test,4,13,C13 Belgrano,0.13,0.36,-0.569,78,0.09,1.0
XGBoost,Test,4,13,C13 Belgrano,2.38,4.61,-246.994,74,0.09,1.0
LSTM+aug,Test,4,13,C13 Belgrano,0.91,0.96,-8.296,62,0.11,1.0
Persistencia,Test,4,14,C14 Palermo,0.15,0.45,-1.122,78,0.08,2.0
XGBoost,Test,4,14,C14 Palermo,2.71,5.51,-297.995,74,0.08,2.0
LSTM+aug,Test,4,14,C14 Palermo,0.96,0.99,-7.191,62,0.1,2.0
Persistencia,Test,4,15,C15 Agronomía,0.21,0.64,-0.645,78,0.14,3.0
XGBoost,Test,4,15,C15 Agronomía,2.8,5.57,-117.54,74,0.15,3.0
LSTM+aug,Test,4,15,C15 Agronomía,0.97,1.01,-2.335,62,0.18,3.0
