Modelo,Split,Horizonte,Comuna,Nombre,MAE,RMSE,R2,N,media_real,max_real
XGBoost,Train,3,13,C13 Belgrano,1.76,4.17,0.899,48,6.65,51.0
LSTM+aug,Train,3,13,C13 Belgrano,2.62,6.73,-0.18,40,2.62,35.0
Persistencia,Train,3,14,C14 Palermo,6.04,15.52,0.764,51,13.02,142.0
XGBoost,Train,3,14,C14 Palermo,3.97,10.66,0.894,48,14.02,142.0
LSTM+aug,Train,3,14,C14 Palermo,3.85,12.43,-0.106,40,3.85,71.0
Persistencia,Train,3,15,C15 Agronomía,4.9,11.51,0.665,51,8.78,84.0
XGBoost,Train,3,15,C15 Agronomía,2.42,6.19,0.907,48,9.75,84.0
LSTM+aug,Train,3,15,C15 Agronomía,4.07,11.4,-0.147,40,4.07,55.0
Persistencia,Train,4,1,C1 Puerto Madero,25.76,71.34,0.809,51,68.14,649.0
XGBoost,Train,4,1,C1 Puerto Madero,6.28,17.55,0.989,48,74.88,649.0
LSTM+aug,Train,4,1,C1 Puerto Madero,19.2,48.3,-0.168,40,19.35,205.0
Persistencia,Train,4,2,C2 Recoleta,1.39,3.18,0.755,51,2.78,26.0
XGBoost,Train,4,2,C2 Recoleta,0.33,0.82,0.985,48,3.04,26.0
LSTM+aug,Train,4,2,C2 Recoleta,1.22,1.75,-0.036,40,0.7,9.0
Persistencia,Train,4,3,C3 Balvanera,2.53,5.76,0.657,51,4.35,42.0
XGBoost,Train,4,3,C3 Balvanera,0.7,1.39,0.981,48,4.96,42.0
LSTM+aug,Train,4,3,C3 Balvanera,1.86,3.18,-0.018,40,1.45,16.0
Persistencia,Train,4,4,C4 La Boca,4.18,9.93,0.768,51,9.61,86.0
XGBoost,Train,4,4,C4 La Boca,1.41,3.97,0.964,48,10.92,86.0
LSTM+aug,Train,4,4,C4 La Boca,3.96,8.93,-0.099,40,3.7,40.0
Persistencia,Train,4,5,C5 Almagro,2.24,4.82,0.772,51,4.73,37.0
XGBoost,Train,4,5,C5 Almagro,0.73,1.44,0.98,48,5.25,37.0
LSTM+aug,Train,4,5,C5 Almagro,1.83,3.49,-0.025,40,1.58,18.0
Persistencia,Train,4,6,C6 Caballito,1.63,3.74,0.797,51,3.69,35.0
XGBoost,Train,4,6,C6 Caballito,0.66,1.85,0.952,48,4.1,35.0
LSTM+aug,Train,4,6,C6 Caballito,1.39,2.14,0.0,40,1.02,10.0
Persistencia,Train,4,7,C7 Flores,5.96,14.29,0.85,51,16.47,140.0
XGBoost,Train,4,7,C7 Flores,1.56,3.84,0.99,48,17.42,140.0
LSTM+aug,Train,4,7,C7 Flores,4.49,12.15,-0.067,40,4.07,55.0
Persistencia,Train,4,8,C8 Lugano,7.08,15.03,0.82,51,16.04,148.0
XGBoost,Train,4,8,C8 Lugano,1.05,2.17,0.996,48,17.58,148.0
LSTM+aug,Train,4,8,C8 Lugano,4.74,11.25,-0.104,40,4.47,50.0
Persistencia,Train,4,9,C9 Liniers,22.02,54.96,0.8,51,51.06,553.0
XGBoost,Train,4,9,C9 Liniers,7.48,20.71,0.973,48,53.56,553.0
LSTM+aug,Train,4,9,C9 Liniers,6.16,18.13,-0.071,40,5.7,81.0
Persistencia,Train,4,10,C10 Floresta,11.47,30.03,0.785,51,26.69,274.0
XGBoost,Train,4,10,C10 Floresta,4.95,16.14,0.941,48,28.4,274.0
LSTM+aug,Train,4,10,C10 Floresta,4.96,13.25,-0.076,40,4.55,56.0
Persistencia,Train,4,11,C11 Villa del Parque,10.43,27.33,0.729,51,21.0,261.0
