year,epi_week,temp_max_mean,temp_min_mean,temp_mean,precipitation,humidity_mean,heat_index_mean,n_dias,fecha_inicio,temp_mean_anomaly,precipitation_anomaly,humidity_mean_anomaly
2022,32,16.571428571428573,9.157142857142857,12.585714285714285,4.8,70.14285714285714,12.585714285714285,7,2022-08-08,1.5178571428571423,1.9,1.7857142857142776
2022,33,15.957142857142856,7.171428571428572,11.5,2.3,45.857142857142854,11.5,7,2022-08-15,-0.6392857142857142,-13.049999999999997,-15.946428571428577
2022,34,19.5,10.157142857142857,14.585714285714285,9.0,65.21428571428571,14.585714285714285,7,2022-08-22,2.317857142857143,-23.275,-3.017857142857153
2022,35,17.114285714285714,8.671428571428573,12.571428571428571,6.5,60.357142857142854,12.571428571428571,7,2022-08-29,-0.810714285714285,-22.349999999999998,-7.607142857142868
2022,36,19.3,9.214285714285714,14.014285714285714,0.8999999999999999,55.857142857142854,14.014285714285714,7,2022-09-05,1.1750000000000007,-10.4,-7.785714285714292
2022,37,21.142857142857142,11.642857142857142,15.928571428571429,0.0,59.642857142857146,15.928571428571429,7,2022-09-12,0.4607142857142854,-6.425000000000001,-3.0535714285714306
2022,38,19.585714285714285,10.842857142857143,15.0,1.8,53.357142857142854,15.0,7,2022-09-19,-1.3107142857142833,-10.125,-15.142857142857146
2022,39,22.571428571428573,11.785714285714286,16.742857142857144,1.6,51.5,16.742857142857144,7,2022-09-26,1.1750000000000007,-1.8249999999999997,-10.410714285714285
2022,40,21.82857142857143,10.585714285714285,16.014285714285716,1.5,50.5,16.014285714285716,7,2022-10-03,-1.37142857142857,-5.2250000000000005,-8.214285714285715
2022,41,20.342857142857145,10.714285714285714,15.357142857142858,1.7,49.785714285714285,15.357142857142858,7,2022-10-10,-1.6178571428571438,-3.3000000000000007,-10.392857142857146
2022,42,21.414285714285715,13.014285714285714,16.6,20.6,68.85714285714286,16.6,7,2022-10-17,-1.99642857142857,13.975000000000001,1.0357142857142918
2022,43,26.571428571428573,14.785714285714286,20.057142857142857,13.100000000000001,55.785714285714285,20.057142857142857,7,2022-10-24,0.20714285714285552,-17.924999999999997,-8.999999999999993
2022,44,23.657142857142855,11.585714285714285,17.414285714285715,0.0,45.714285714285715,17.414285714285715,7,2022-10-31,-0.6321428571428562,-16.65,-16.107142857142854
2022,45,27.5,16.257142857142856,20.942857142857143,22.1,55.785714285714285,20.942857142857143,7,2022-11-07,0.8714285714285701,-6.199999999999999,-7.982142857142861
2022,46,30.157142857142855,19.185714285714287,24.114285714285717,10.5,57.357142857142854,24.18693444874507,7,2022-11-14,2.2642857142857196,-9.95,-0.9821428571428541
2022,47,28.314285714285713,17.214285714285715,22.571428571428573,1.3,58.92857142857143,22.528345661849794,7,2022-11-21,1.4250000000000007,-6.95,-1.0178571428571388
2022,48,29.32857142857143,19.428571428571427,24.042857142857144,27.5,61.714285714285715,24.124750788781252,7,2022-11-28,1.082142857142859,2.375,-6.285714285714285
2022,49,35.08571428571428,23.099999999999998,28.542857142857144,16.599999999999998,54.642857142857146,29.700195991121095,7,2022-12-05,5.335714285714285,2.0249999999999986,-5.785714285714285
2022,50,28.17142857142857,17.54285714285714,22.885714285714283,3.5,50.642857142857146,22.886589864893274,7,2022-12-12,-1.0464285714285744,-15.325,-11.357142857142854
2022,51,28.342857142857145,19.75714285714286,23.571428571428573,11.200000000000001,60.92857142857143,23.571428571428573,7,2022-12-19,0.4750000000000014,3.7750000000000004,-0.0892857142857082
2022,52,30.32857142857143,19.085714285714285,24.74285714285714,4.699999999999999,52.357142857142854,24.74285714285714,7,2022-12-26,-0.024285714285717575,0.6399999999999997,-4.607142857142854
2023,1,31.957142857142856,20.414285714285715,25.7,0.1,50.357142857142854,25.75826992631143,7,2023-01-02,-0.3371428571428581,-5.200000000000001,-2.8380952380952422
2023,2,31.74285714285714,21.2,25.900000000000002,5.4,54.642857142857146,25.85178111354122,7,2023-01-09,-0.5785714285714292,2.575,1.0714285714285765
2023,3,33.32857142857143,23.52857142857143,27.74285714285714,10.0,58.285714285714285,28.481467499474377,7,2023-01-16,2.2535714285714263,-18.85,-8.035714285714285
2023,4,32.41428571428571,22.685714285714287,27.014285714285712,1.3,61.642857142857146,27.797635042748027,7,2023-01-23,1.6321428571428562,-6.5,1.0535714285714306
2023,5,29.228571428571428,20.47142857142857,24.514285714285712,9.3,65.57142857142857,24.514285714285712,7,2023-01-30,-0.9428571428571431,-3.4749999999999996,4.589285714285708
2023,6,36.48571428571429,24.52857142857143,29.942857142857147,0.3,51.142857142857146,31.20204174437839,7,2023-02-06,3.6607142857142883,-36.6,-9.303571428571423
2023,7,26.514285714285712,15.457142857142857,21.071428571428573,9.700000000000001,58.07142857142857,21.268123489530858,7,2023-02-13,-2.1178571428571438,-4.075000000000001,-2.1785714285714306
2023,8,30.742857142857144,19.414285714285715,24.62857142857143,1.3,58.0,24.62857142857143,7,2023-02-20,0.125,-25.875,-6.125
